순위,선수,팀,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,도루,도루 실패,볼넷,사구,삼진,병살,장타율,출루율,OPS,실책,희생플라이,희생번트,장타,땅볼,뜬공,땅볼/뜬공,결승타,투구수/타석,추정득점,고의사구,멀티히트,득점권타율,대타타율,볼넷/삼진,순수장타율,GPA,wRC+,wOBA,WAR,BABIP,볼넷비율,삼진비율,RC,SecA
10,박승규,삼성,0.287,64,200,174,39,50,5,0,6,73,14,5,4,21,4,43,2,0.42,0.377,0.797,1,0,1,11,38,43,0.88,1,4.15,27.7,0,12,0.2,0.143,0.49,0.132,0.275,123.9,0.37,0.9,0.352,10.5,21.5,26.6,0.259
11,양도근,삼성,0.259,116,198,166,23,43,5,0,0,48,16,5,1,18,2,41,3,0.289,0.337,0.626,5,1,11,5,44,39,1.13,3,3.74,18.3,0,12,0.22,0.286,0.44,0.03,0.224,76.6,0.305,0.9,0.341,9.1,20.7,15.9,0.163
12,김헌곤,삼성,0.225,77,191,173,21,39,6,0,2,51,11,2,1,11,4,29,4,0.295,0.286,0.581,0,1,2,8,57,49,1.16,1,3.79,14.5,0,6,0.114,0.333,0.38,0.069,0.202,55.3,0.275,-1,0.259,5.8,15.2,13.9,0.139
13,이성규,삼성,0.198,68,154,126,17,25,5,1,6,50,21,2,2,15,10,52,3,0.397,0.327,0.724,2,2,1,12,22,29,0.76,2,4.28,18.2,0,3,0.256,0.154,0.29,0.198,0.246,98.9,0.336,0.4,0.271,9.7,33.8,14.2,0.317
14,김태훈,삼성,0.237,51,98,93,4,22,1,0,2,29,8,1,0,3,0,24,0,0.312,0.26,0.572,2,0,2,3,25,22,1.14,1,3.23,7.8,0,2,0.15,0.24,0.13,0.075,0.195,46.3,0.263,-0.9,0.299,3.1,24.5,7.6,0.118
15,전병우,삼성,0.273,59,97,77,11,21,2,0,1,26,13,1,0,19,1,27,3,0.338,0.423,0.761,1,0,0,3,10,19,0.53,1,4.13,12.5,0,2,0.381,0.412,0.7,0.065,0.275,128.1,0.376,0.7,0.408,19.6,27.8,10.8,0.325
16,김재성,삼성,0.127,43,73,63,3,8,2,0,0,10,4,0,0,6,2,23,0,0.159,0.222,0.381,0,1,1,2,13,20,0.65,0,3.88,2.4,0,1,0.133,0,0.26,0.032,0.14,-0.1,0.198,-0.5,0.195,8.2,31.5,2,0.127
17,이병헌,삼성,0.2,55,59,55,5,11,3,0,1,17,7,0,0,3,1,13,1,0.309,0.254,0.563,2,0,0,4,17,14,1.21,0,3.88,4,0,3,0.273,0,0.23,0.109,0.192,45.7,0.262,0,0.244,5.1,22,4.1,0.164
18,윤정빈,삼성,0.175,25,46,40,3,7,1,0,0,8,3,0,0,4,0,18,1,0.2,0.239,0.439,0,2,0,1,7,10,0.7,0,3.96,2.3,0,2,0.286,0.167,0.22,0.025,0.158,12.2,0.215,-0.5,0.292,8.7,39.1,2,0.125
19,심재훈,삼성,0.184,31,43,38,8,7,0,0,0,7,2,3,1,4,0,13,0,0.184,0.262,0.446,0,0,1,0,12,6,2,0,3.86,2.2,0,2,0.222,0,0.31,0,0.164,20.6,0.227,-0.5,0.28,9.3,30.2,1.8,0.158
20,홍현빈,삼성,0.125,32,38,32,8,4,2,0,0,6,0,0,0,3,1,8,0,0.188,0.222,0.41,1,0,2,2,4,16,0.25,0,3.97,1.3,0,0,0.167,0.143,0.38,0.063,0.147,7.3,0.208,-0.4,0.167,7.9,21.1,1.2,0.156
21,안주형,삼성,0.235,8,18,17,3,4,0,0,1,7,2,0,1,1,0,5,1,0.412,0.278,0.69,2,0,0,1,5,3,1.67,0,4.11,1.4,0,0,0,0,0.2,0.176,0.228,78.9,0.308,-0.1,0.273,5.6,27.8,1.9,0.176
22,이창용,삼성,0.2,11,17,15,2,3,1,0,1,7,2,1,0,2,0,8,0,0.467,0.294,0.761,1,0,0,2,4,0,0,0,4.65,2.4,0,0,0.167,0,0.25,0.267,0.249,100.5,0.338,-0.1,0.333,11.8,47.1,2.1,0.467
23,양우현,삼성,0.188,14,16,16,3,3,1,0,0,4,4,0,0,0,0,2,0,0.25,0.188,0.438,1,0,0,1,7,4,1.75,2,3.63,0.5,0,0,0.286,0,0,0.063,0.147,-0.7,0.197,-0.3,0.214,0,12.5,0.8,0.063
24,김도환,삼성,0.286,6,14,14,3,4,1,0,0,5,1,0,0,0,0,4,0,0.357,0.286,0.643,0,0,0,1,2,4,0.5,0,3.36,1.3,0,1,1,0,0,0.071,0.218,67.3,0.292,0,0.4,0,28.6,1.4,0.071
24,함수호,삼성,0.214,6,14,14,1,3,0,0,0,3,1,0,0,0,0,6,0,0.214,0.214,0.428,0,0,0,0,4,1,4,0,3.79,0.5,0,1,0.25,0,0,0,0.15,0.4,0.199,-0.2,0.375,0,42.9,0.6,0
24,김태근,삼성,0.333,11,14,12,2,4,0,0,0,4,0,0,0,2,0,4,0,0.333,0.429,0.762,0,0,0,0,1,3,0.33,0,3.86,1.9,0,0,0,0.5,0.5,0,0.276,126.2,0.373,0,0.5,14.3,28.6,1.7,0.167
27,이해승,삼성,0.2,8,5,5,2,1,0,0,0,1,1,0,0,0,0,2,0,0.2,0.2,0.4,2,0,0,0,0,2,0,0,4.8,0.1,0,0,0.5,0,0,0,0.14,-9.2,0.186,-0.3,0.333,0,40,0.2,0
28,김재혁,삼성,0,8,4,3,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0.25,0.25,0,0,0,0,1,0,0,0,4,0.1,0,0,0,0,0.5,0,0.113,-6.3,0.19,-0.1,0,25,50,0,0.333
29,차승준,삼성,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,-0.1,0,0,0,0,0,0,0,-142.9,0,0,0,0,0,0,0
29,박진우,삼성,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,-0.1,0,0,0,0,0,0,0,-142.9,0,0,0,0,0,0,0
