순위,선수,팀,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,도루,도루 실패,볼넷,사구,삼진,병살,장타율,출루율,OPS,실책,희생플라이,희생번트,장타,땅볼,뜬공,땅볼/뜬공,결승타,투구수/타석,추정득점,고의사구,멀티히트,득점권타율,대타타율,볼넷/삼진,순수장타율,GPA,wRC+,wOBA,WAR,BABIP,볼넷비율,삼진비율,RC,SecA
27,함덕주,LG,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,장현식,LG,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,백승현,LG,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,이지강,LG,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,이정용,LG,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,김진성,LG,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,김주원,NC,0.289,144,624,539,98,156,26,8,15,243,65,44,11,63,16,111,8,0.451,0.379,0.83,29,2,4,49,112,162,0.69,3,3.94,95.9,1,40,0.306,0.333,0.57,0.161,0.283,132.2,0.382,3.9,0.34,10.1,17.8,88.4,0.34
2,김휘집,NC,0.249,142,500,429,64,107,18,2,17,180,56,10,2,40,27,89,9,0.42,0.349,0.769,19,2,2,37,95,140,0.68,11,3.9,66.3,0,29,0.242,0.333,0.45,0.17,0.262,113.1,0.355,2.8,0.277,8,17.8,56.4,0.282
3,박민우,NC,0.302,117,468,404,64,122,25,8,3,172,67,28,8,44,12,64,5,0.426,0.384,0.81,10,4,4,36,109,113,0.96,6,3.66,68.6,5,37,0.432,0.167,0.69,0.124,0.279,128.1,0.376,3.5,0.349,9.4,13.7,63.7,0.282
4,권희동,NC,0.246,136,456,358,56,88,24,0,6,130,39,5,5,77,11,80,10,0.363,0.393,0.756,1,2,8,30,103,89,1.16,4,4.47,56.6,0,21,0.247,0.077,0.96,0.117,0.268,120.7,0.366,1.4,0.299,16.9,17.5,49.3,0.332
5,최원준,NC,0.242,126,449,413,62,100,13,3,6,137,44,26,8,23,6,71,5,0.332,0.289,0.621,3,5,2,22,132,115,1.15,3,3.78,43.4,0,24,0.224,0.2,0.32,0.09,0.213,64.1,0.287,-1,0.276,5.1,15.8,38.6,0.189
6,박건우,NC,0.289,124,442,384,43,111,24,1,9,164,67,6,4,47,5,63,6,0.427,0.37,0.797,2,5,1,34,106,109,0.97,5,3.72,61.7,2,30,0.306,0.4,0.75,0.138,0.273,121.5,0.367,1,0.322,10.6,14.3,60.1,0.266
7,데이비슨,NC,0.293,112,439,386,63,113,18,0,36,239,97,1,0,31,8,118,10,0.619,0.346,0.965,2,14,0,54,66,103,0.64,9,3.72,83.6,1,30,0.237,0,0.26,0.326,0.31,152.2,0.41,3,0.313,7.1,26.9,82.5,0.409
8,김형준,NC,0.232,127,415,362,51,84,10,1,18,150,55,3,0,45,3,126,7,0.414,0.32,0.734,4,2,3,29,59,95,0.62,7,4.1,50.8,0,18,0.29,0.25,0.36,0.182,0.248,98.7,0.335,1.7,0.3,10.8,30.4,47.5,0.315
9,이우성,NC,0.25,105,337,300,28,75,22,1,3,108,33,2,1,31,2,66,8,0.36,0.321,0.681,3,3,1,26,91,71,1.28,1,3.79,34.4,0,19,0.213,0.385,0.47,0.11,0.234,86.2,0.318,-0.1,0.308,9.2,19.6,34.6,0.217
10,천재환,NC,0.238,129,294,261,47,62,10,3,6,96,31,15,5,17,5,58,3,0.368,0.292,0.66,2,5,6,19,69,77,0.9,3,3.65,31.6,0,12,0.242,0.2,0.29,0.13,0.223,74.1,0.301,-0.5,0.277,5.8,19.7,27.3,0.234
11,서호철,NC,0.266,103,292,263,25,70,7,1,3,88,30,7,3,8,7,51,7,0.335,0.301,0.636,8,4,10,11,76,70,1.09,3,3.63,26.8,0,16,0.247,0.143,0.16,0.068,0.219,69.2,0.294,-0.9,0.315,2.7,17.5,25.3,0.114
12,오영수,NC,0.232,67,179,155,14,36,5,0,3,50,23,3,2,22,2,47,0,0.323,0.335,0.658,1,0,0,8,39,33,1.18,3,4.05,18.9,0,9,0.262,0.273,0.47,0.09,0.232,85.4,0.317,-0.9,0.314,12.3,26.3,16.4,0.239
13,최정원,NC,0.275,91,155,120,40,33,3,0,0,36,11,30,6,18,12,22,0,0.3,0.417,0.717,1,1,4,3,50,16,3.13,3,3.75,23.4,0,9,0.194,0.25,0.82,0.025,0.263,117.9,0.362,1.2,0.333,11.6,14.2,13.3,0.375
14,한석현,NC,0.195,61,138,113,18,22,5,0,3,36,21,1,1,12,7,27,1,0.319,0.306,0.625,1,2,4,8,32,34,0.94,0,3.78,13.4,0,6,0.267,0.167,0.44,0.124,0.217,72.2,0.298,-0.2,0.224,8.7,19.6,9.8,0.23
15,도태훈,NC,0.182,61,98,77,9,14,4,1,1,23,8,3,0,7,8,16,2,0.299,0.315,0.614,3,0,6,6,25,22,1.14,0,3.6,8.7,0,2,0.2,0,0.44,0.117,0.217,74.9,0.302,0,0.217,7.1,16.3,5.8,0.247
16,박세혁,NC,0.163,48,93,86,8,14,3,0,2,23,10,1,0,5,1,28,4,0.267,0.215,0.482,3,1,0,5,17,28,0.61,3,3.96,3.9,0,3,0.219,0.091,0.18,0.105,0.164,18.4,0.224,-0.7,0.211,5.4,30.1,4.8,0.174
17,홍종표,NC,0.164,62,85,73,16,12,0,0,0,12,3,1,2,7,0,23,1,0.164,0.235,0.399,2,1,4,0,25,14,1.79,0,4,2.4,0,1,0.091,0,0.3,0,0.147,3.4,0.203,-0.7,0.235,8.2,27.1,2.9,0.082
18,김한별,NC,0.313,76,72,64,14,20,2,0,0,22,5,1,0,3,3,5,2,0.344,0.371,0.715,2,0,2,2,26,13,2,0,3.78,8,0,3,0.429,0,0.6,0.031,0.253,103.1,0.341,0.4,0.339,4.2,6.9,7.6,0.094
19,안중열,NC,0.143,33,60,49,2,7,3,0,0,10,6,0,0,8,2,15,0,0.204,0.288,0.492,2,0,1,3,15,12,1.25,1,4.03,3.7,0,0,0.182,0,0.53,0.061,0.181,43,0.258,-0.4,0.206,13.3,25,2.6,0.224
19,박시원,NC,0.204,52,60,54,12,11,2,0,1,16,4,1,0,5,0,18,1,0.296,0.271,0.567,0,0,1,3,12,13,0.92,1,3.62,4.4,0,0,0.25,0.375,0.28,0.093,0.196,50.2,0.268,-0.4,0.286,8.3,30,4.3,0.204
21,한재환,NC,0.185,16,31,27,2,5,0,0,0,5,4,0,0,2,2,14,0,0.185,0.29,0.475,0,0,0,0,2,6,0.33,0,4.42,1.8,0,0,0.3,0.2,0.14,0,0.177,36.1,0.248,-0.3,0.385,6.5,45.2,1.2,0.074
22,박한결,NC,0.118,8,19,17,2,2,0,0,2,8,3,0,0,2,0,8,0,0.471,0.211,0.682,0,0,0,2,2,5,0.4,0,4.26,2.1,0,0,0.25,0,0.25,0.353,0.213,66.1,0.29,-0.1,0,10.5,42.1,1.7,0.471
23,송승환,NC,0.2,13,15,15,0,3,1,0,0,4,2,0,0,0,0,6,0,0.267,0.2,0.467,0,0,0,1,5,1,5,0,3.47,0.6,0,0,0.667,0.286,0,0.067,0.157,8.8,0.21,-0.3,0.333,0,40,0.8,0.067
24,오태양,NC,0.25,14,13,12,6,3,0,0,0,3,1,2,1,1,0,3,0,0.25,0.308,0.558,1,0,0,0,6,0,0,0,3.85,1,0,0,0.75,0,0.33,0,0.201,53.4,0.272,-0.1,0.333,7.7,23.1,0.9,0.167
25,고승완,NC,0.2,17,11,10,5,2,0,0,0,2,0,2,1,1,0,5,0,0.2,0.273,0.473,0,0,0,0,3,0,0,0,4.45,0.6,0,0,0,0.333,0.2,0,0.173,28.3,0.238,0,0.4,9.1,45.5,0.5,0.2
25,김정호,NC,0.444,8,11,9,3,4,0,0,0,4,0,0,0,0,1,4,0,0.444,0.5,0.944,0,0,1,0,0,1,0,0,2.73,1.9,0,1,0,0,0,0,0.336,180.2,0.449,0.2,0.8,0,36.4,1.8,0
27,안인산,NC,0,4,7,6,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,4,0,0,4.14,-0.2,0,0,0,0,0,0,0,-142.9,0,-0.2,0,0,42.9,0,0
28,박영빈,NC,0.25,16,5,4,8,1,0,0,0,1,1,4,2,1,0,2,0,0.25,0.4,0.65,0,0,0,0,0,1,0,0,4.2,0.6,0,0,1,0,0.5,0,0.243,100.1,0.337,-0.1,0.5,20,40,0.4,0.75
29,김범준,NC,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,-0.1,0,0,0,0,0,0,0,-142.9,0,0,0,0,100,0,0
30,소이현,NC,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,김영규,NC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,류진욱,NC,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,전사민,NC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,배재환,NC,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,손주환,NC,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,김태훈,NC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,최지훈,SSG,0.284,140,574,517,66,147,16,4,7,192,45,28,7,43,5,87,2,0.371,0.342,0.713,5,5,4,27,117,171,0.68,6,3.91,72,2,37,0.28,0.286,0.49,0.087,0.247,96.5,0.332,2.2,0.327,7.5,15.2,65.1,0.211
2,박성한,SSG,0.274,127,538,452,73,124,23,2,7,172,48,5,6,79,3,93,6,0.381,0.384,0.765,20,2,2,32,125,112,1.12,5,4.51,69.8,1,31,0.275,0.5,0.85,0.106,0.268,119,0.364,5.5,0.331,14.7,17.3,65.8,0.279
3,한유섬,SSG,0.273,128,511,455,50,124,24,0,15,193,71,1,0,46,7,120,6,0.424,0.347,0.771,2,2,1,39,94,119,0.79,8,3.95,67.1,3,36,0.291,0.333,0.38,0.152,0.262,111.9,0.354,2.8,0.339,9,23.5,65.5,0.255
4,고명준,SSG,0.278,130,500,471,46,131,20,1,17,204,64,2,0,20,2,99,12,0.433,0.306,0.739,3,7,0,38,124,124,1,11,3.38,60.9,1,43,0.235,0,0.2,0.155,0.246,94.4,0.329,1.6,0.315,4,19.8,62.7,0.202
5,정준재,SSG,0.245,132,442,371,58,91,10,3,0,107,25,37,8,51,3,93,4,0.288,0.34,0.628,9,1,16,13,114,74,1.54,4,3.92,45.4,0,21,0.276,0.267,0.55,0.043,0.225,79.4,0.309,2.1,0.326,11.5,21,36,0.259
6,에레디아,SSG,0.339,96,415,375,46,127,18,0,13,184,54,1,2,31,7,62,9,0.491,0.398,0.889,2,2,0,31,89,99,0.9,4,3.45,66.4,4,36,0.366,0,0.5,0.152,0.302,147.7,0.403,5.3,0.377,7.5,14.9,71.6,0.232
7,최정,SSG,0.244,95,406,340,54,83,12,0,23,164,63,1,0,51,12,94,10,0.482,0.36,0.842,4,3,0,35,61,105,0.58,9,4.06,60.3,6,22,0.247,0,0.54,0.238,0.283,130.5,0.379,3.3,0.265,12.6,23.2,56.2,0.391
8,조형우,SSG,0.238,102,294,269,23,64,8,0,4,84,29,0,0,19,3,64,5,0.312,0.294,0.606,4,2,1,12,69,74,0.93,3,3.85,25,0,13,0.244,0,0.3,0.074,0.21,62.1,0.285,1.3,0.296,6.5,21.8,24.2,0.145
9,안상현,SSG,0.264,102,289,258,38,68,8,2,6,98,15,17,6,18,2,85,2,0.38,0.314,0.694,9,2,9,16,56,51,1.1,1,3.87,33,0,19,0.2,0,0.21,0.116,0.236,86.7,0.319,0.7,0.367,6.2,29.4,30.5,0.229
10,오태곤,SSG,0.201,122,229,194,31,39,6,0,5,60,26,25,8,30,1,59,4,0.309,0.31,0.619,2,1,3,11,53,44,1.2,6,3.85,22.6,0,9,0.196,0.242,0.51,0.108,0.217,71.6,0.298,-0.2,0.26,13.1,25.8,18.5,0.351
11,이지영,SSG,0.239,76,216,197,13,47,6,1,3,64,18,2,1,11,2,22,8,0.325,0.283,0.608,3,2,4,10,73,57,1.28,2,3.29,16.9,0,14,0.177,0,0.5,0.086,0.209,60,0.282,0.9,0.253,5.1,10.2,17.8,0.147
12,최준우,SSG,0.191,78,192,152,17,29,0,0,3,38,22,2,0,30,3,47,3,0.25,0.328,0.578,1,4,3,3,51,29,1.76,3,4.03,17.9,0,5,0.262,0.148,0.64,0.059,0.21,67.5,0.292,-0.3,0.245,15.6,24.5,12.3,0.27
13,김성현,SSG,0.217,59,137,115,15,25,3,0,1,31,11,1,1,16,1,20,4,0.27,0.316,0.586,5,1,4,4,38,33,1.15,0,3.66,10.5,0,2,0.226,0.375,0.8,0.052,0.21,64.5,0.288,0.4,0.253,11.7,14.6,9.7,0.191
14,김성욱,SSG,0.195,56,132,123,10,24,6,0,2,36,13,1,2,7,1,35,2,0.293,0.244,0.537,0,0,1,8,29,35,0.83,1,3.72,7.6,0,5,0.189,0,0.2,0.098,0.183,37.1,0.25,-0.4,0.256,5.3,26.5,8.6,0.146
15,류효승,SSG,0.287,27,103,94,18,27,5,0,6,50,16,0,1,7,2,28,1,0.532,0.35,0.882,0,0,0,11,15,24,0.63,3,4.03,16.4,0,7,0.273,0.5,0.25,0.245,0.291,138.3,0.39,0.7,0.35,6.8,27.2,16.8,0.309
16,맥브룸,SSG,0.203,22,80,74,8,15,3,0,4,30,11,0,0,5,1,28,2,0.405,0.263,0.668,0,0,0,7,17,14,1.21,0,4.23,7.5,2,4,0.261,0,0.18,0.203,0.22,72.2,0.299,0.1,0.262,6.3,35,7.6,0.27
17,김찬형,SSG,0.178,44,78,73,4,13,2,0,0,15,5,0,0,3,1,13,3,0.205,0.221,0.426,4,0,1,2,24,23,1.04,0,4.06,1.7,0,3,0.25,0,0.23,0.027,0.151,5.5,0.206,-0.1,0.217,3.8,16.7,3.2,0.068
18,박지환,SSG,0.15,31,68,60,3,9,0,0,0,9,4,0,1,4,0,19,1,0.15,0.2,0.35,5,1,3,0,15,18,0.83,0,3.53,0.9,0,1,0.176,0,0.21,0,0.128,-16.7,0.175,-0.8,0.214,5.9,27.9,1.8,0.05
19,현원회,SSG,0.305,21,62,59,6,18,1,0,1,22,6,0,0,3,0,16,3,0.373,0.339,0.712,0,0,0,2,14,11,1.27,1,4.23,6.3,0,4,0.235,0.5,0.19,0.068,0.246,94.4,0.329,0.3,0.405,4.8,25.8,7.5,0.119
20,하재훈,SSG,0.143,18,61,56,6,8,0,0,3,17,8,1,2,4,0,21,1,0.304,0.197,0.501,1,1,0,3,14,14,1,1,3.72,3.2,0,1,0.167,0,0.19,0.161,0.165,18.5,0.224,-0.5,0.152,6.6,34.4,3.4,0.214
21,석정우,SSG,0.265,27,54,49,3,13,1,0,2,20,4,0,0,4,1,18,1,0.408,0.333,0.741,4,0,0,3,10,8,1.25,1,4.19,6.5,0,0,0.3,0,0.22,0.143,0.252,102.4,0.34,0,0.379,7.4,33.3,6.4,0.224
22,채현우,SSG,0.188,41,52,48,8,9,1,1,1,15,9,2,0,3,0,13,1,0.313,0.231,0.544,1,1,0,3,15,12,1.25,1,3.52,4,0,2,0.231,0,0.23,0.125,0.182,34.9,0.247,-0.2,0.229,5.8,25,3.5,0.229
23,신범수,SSG,0.182,29,39,33,1,6,1,0,1,10,3,0,0,5,1,7,0,0.303,0.308,0.611,0,0,0,2,7,13,0.54,0,3.41,3.7,0,0,0.143,0.4,0.71,0.121,0.214,70.9,0.297,0.2,0.2,12.8,17.9,2.9,0.273
24,이율예,SSG,0.231,8,13,13,3,3,0,0,3,12,7,0,0,0,0,6,0,0.923,0.231,1.154,2,0,0,3,1,3,0.33,1,4.54,3.4,0,0,0.25,0,0,0.692,0.335,189.3,0.461,0.1,0,0,46.2,2.8,0.692
25,김수윤,SSG,0.091,7,12,11,0,1,0,0,0,1,0,0,0,0,1,4,0,0.091,0.167,0.258,2,0,0,0,3,3,1,0,3.92,-0.1,0,0,0,0,0,0,0.098,-40.7,0.142,-0.2,0.143,0,33.3,0.1,0
26,최상민,SSG,0.143,23,9,7,5,1,0,0,0,1,1,1,1,1,1,5,0,0.143,0.333,0.476,0,0,0,0,1,0,0,0,4.67,0.5,0,0,0,0,0.2,0,0.186,54,0.273,-0.1,0.5,11.1,55.6,0.3,0.143
27,홍대인,SSG,0.2,14,5,5,3,1,0,0,0,1,0,1,1,0,0,2,0,0.2,0.2,0.4,1,0,0,0,1,1,1,0,3.6,0,0,0,0,0,0,0,0.14,-9.2,0.186,-0.3,0.333,0,40,0.2,0
27,임근우,SSG,0,3,5,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,1,0,3.8,-0.5,0,0,0,0,0,0,0,-142.9,0,-0.1,0,0,20,0,0
27,이승민,SSG,0.2,2,5,5,0,1,0,0,0,1,0,0,0,0,0,2,0,0.2,0.2,0.4,0,0,0,0,1,1,1,0,4.2,0.1,0,0,0,1,0,0,0.14,-9.2,0.186,-0.1,0.333,0,40,0.2,0
30,김태윤,SSG,0.5,8,4,2,0,1,0,0,0,1,0,1,1,2,0,0,0,0.5,0.75,1.25,0,0,0,0,0,1,0,0,5.75,1,0,0,0,1,0,0,0.463,297.3,0.611,0.1,0.5,50,0,0.8,1
31,이정범,SSG,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,4.67,-0.3,0,0,0,0,0,0,0,-142.9,0,-0.1,0,0,66.7,0,0
32,정현승,SSG,0.5,3,2,2,0,1,1,0,0,2,0,0,0,0,0,0,0,1,0.5,1.5,0,0,0,1,0,1,0,0,5,0.6,0,0,0,0,0,0.5,0.475,325.8,0.651,0,0.5,0,0,1,0.5
33,김강민,SSG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,김창평,SSG,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,노경은,SSG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,김건우,SSG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,최민준,SSG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,한두솔,SSG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,김택형,SSG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,조병현,SSG,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,최현석,SSG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,이로운,SSG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,전영준,SSG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,케이브,두산,0.299,136,593,538,72,161,28,6,16,249,87,17,1,43,4,116,7,0.463,0.351,0.814,2,8,0,50,129,140,0.92,7,3.78,89.1,1,52,0.31,0,0.37,0.164,0.274,121.1,0.366,4.6,0.35,7.3,19.6,87.4,0.273
2,정수빈,두산,0.258,132,546,462,89,119,16,4,6,161,38,26,13,61,11,57,7,0.348,0.355,0.703,3,4,8,26,182,108,1.69,1,3.96,63.5,2,27,0.212,1,1.07,0.091,0.247,99,0.336,2.7,0.28,11.2,10.4,55.4,0.251
3,양의지,두산,0.337,130,517,454,56,153,27,1,20,242,89,4,2,50,7,63,10,0.533,0.406,0.939,5,6,0,48,94,150,0.63,5,3.71,91.6,6,44,0.375,0.5,0.79,0.196,0.316,160.2,0.421,6.9,0.353,9.7,12.2,97.5,0.311
4,김재환,두산,0.241,103,407,344,42,83,13,2,13,139,50,7,2,57,4,96,4,0.404,0.354,0.758,0,2,0,28,73,94,0.78,6,3.87,53.8,3,19,0.253,0,0.59,0.163,0.26,111.3,0.353,1.8,0.295,14,23.6,48.5,0.343
5,강승호,두산,0.236,115,400,360,51,85,19,3,8,134,37,14,3,24,11,113,7,0.372,0.302,0.674,9,3,2,30,85,80,1.06,3,3.79,42,2,19,0.224,0.333,0.21,0.136,0.229,80.7,0.31,1.5,0.318,6,28.3,38,0.233
6,오명진,두산,0.263,107,371,331,38,87,14,4,4,121,41,5,3,27,3,94,3,0.366,0.321,0.687,10,3,7,22,89,64,1.39,3,3.65,40.1,1,22,0.235,0.25,0.29,0.103,0.236,86.9,0.319,2.1,0.352,7.3,25.3,38.5,0.19
7,이유찬,두산,0.242,89,311,269,36,65,8,1,1,78,16,12,2,33,2,66,4,0.29,0.328,0.618,8,1,6,10,72,67,1.07,1,4.02,29.4,0,11,0.194,0,0.5,0.048,0.22,73.7,0.301,0.4,0.315,10.6,21.2,25.3,0.208
8,박준순,두산,0.284,91,298,282,34,80,11,2,4,107,19,10,2,10,1,56,6,0.379,0.307,0.686,24,3,2,17,82,67,1.22,4,3.33,32.4,1,19,0.246,0,0.18,0.096,0.233,82.3,0.313,0.5,0.338,3.4,18.8,33,0.16
9,양석환,두산,0.248,72,294,262,32,65,16,0,8,105,31,1,0,24,5,82,6,0.401,0.32,0.721,4,3,0,24,42,76,0.55,3,4.11,34,1,17,0.222,0,0.29,0.153,0.244,94.6,0.33,0.8,0.326,8.2,27.9,32.7,0.248
10,김민석,두산,0.228,95,247,228,21,52,7,3,1,68,21,3,2,12,2,62,3,0.298,0.269,0.567,6,3,2,11,59,58,1.02,5,3.82,18.4,1,12,0.254,0.118,0.19,0.07,0.196,47.9,0.265,-1.2,0.304,4.9,25.1,18.1,0.127
11,김기연,두산,0.247,100,245,219,19,54,9,0,2,69,24,1,0,19,1,44,8,0.315,0.307,0.622,4,2,4,11,72,51,1.41,2,3.57,20.6,0,12,0.228,0.278,0.43,0.068,0.217,68.7,0.294,0.5,0.297,7.8,18,21.2,0.16
12,김인태,두산,0.213,106,225,183,17,39,10,1,3,60,25,0,1,36,5,57,2,0.328,0.356,0.684,1,1,0,14,42,46,0.91,3,4.36,24.9,0,4,0.25,0.341,0.63,0.115,0.242,97.4,0.334,0.4,0.29,16,25.3,20.5,0.306
13,박계범,두산,0.263,94,198,175,23,46,9,2,1,62,27,3,1,14,1,45,4,0.354,0.319,0.673,9,1,7,12,56,29,1.93,2,3.96,19.5,0,9,0.345,0.3,0.31,0.091,0.232,83.5,0.314,0.2,0.346,7.1,22.7,19.7,0.183
14,안재석,두산,0.319,35,147,135,25,43,16,1,4,73,20,2,1,11,0,27,3,0.541,0.37,0.911,1,0,1,21,27,38,0.71,4,3.63,23.4,1,15,0.5,0,0.41,0.222,0.302,149.5,0.406,1.5,0.375,7.5,18.4,27,0.311
15,조수행,두산,0.244,108,140,119,30,29,4,0,0,33,9,30,7,14,0,29,1,0.277,0.323,0.6,1,0,7,4,42,19,2.21,1,3.77,14.9,0,6,0.167,0.5,0.48,0.034,0.215,68.5,0.293,0.9,0.322,10,20.7,10.7,0.345
16,박준영,두산,0.225,41,126,111,9,25,8,0,1,36,10,3,0,10,3,32,1,0.324,0.304,0.628,8,1,1,9,19,36,0.53,0,3.97,12.2,0,6,0.179,0,0.31,0.099,0.218,71.3,0.297,-0.4,0.304,7.9,25.4,10.4,0.216
17,김동준,두산,0.237,36,100,93,8,22,3,0,2,31,10,1,1,5,1,30,2,0.333,0.283,0.616,1,0,1,5,22,19,1.16,1,3.38,8.1,0,3,0.259,0.333,0.17,0.097,0.211,62.6,0.285,-0.4,0.328,5,30,8.5,0.151
18,임종성,두산,0.277,33,89,83,7,23,4,0,2,33,11,1,0,3,1,26,1,0.398,0.307,0.705,2,1,1,6,17,18,0.94,3,3.74,10.2,0,4,0.333,1,0.12,0.12,0.238,86.5,0.318,0.5,0.375,3.4,29.2,10,0.169
19,추재현,두산,0.222,34,87,81,7,18,3,1,1,26,7,0,0,3,1,17,2,0.321,0.259,0.58,0,0,2,5,29,17,1.71,1,3.89,6,0,3,0.111,0.286,0.18,0.099,0.197,49.6,0.267,-0.2,0.27,3.4,19.5,6.5,0.136
20,박지훈,두산,0.417,37,55,48,11,20,4,0,1,27,8,1,0,5,1,12,1,0.563,0.481,1.044,2,0,1,5,6,10,0.6,0,3.69,11.1,0,4,0.571,0.667,0.42,0.146,0.357,199.8,0.476,0.8,0.543,9.1,21.8,12.7,0.271
21,김대한,두산,0.194,16,37,36,1,7,0,0,1,10,5,0,1,1,0,6,0,0.278,0.216,0.494,1,0,0,1,13,10,1.3,0,3.7,1.8,0,2,0.167,0,0.17,0.083,0.167,19.2,0.225,-0.2,0.207,2.7,16.2,2.2,0.083
22,홍성호,두산,0.346,9,27,26,3,9,1,0,2,16,3,0,0,1,0,8,0,0.615,0.37,0.985,1,0,0,3,2,7,0.29,1,3.96,5.3,1,3,0.25,0.333,0.13,0.269,0.32,167.3,0.43,0.2,0.438,3.7,29.6,5.9,0.308
23,류현준,두산,0.136,17,22,22,2,3,0,0,0,3,1,0,0,0,0,6,1,0.136,0.136,0.272,1,0,0,0,11,2,5.5,0,3.18,-0.6,0,0,0.143,0.25,0,0,0.095,-51.7,0.127,-0.4,0.188,0,27.3,0.4,0
