시도,화재유형,발화요인대분류,발화요인소분류,장소대분류,인명피해_발생여부,발생_월,발생_시간,발생_요일
경기도,"건축,구조물",전기적 요인,미확인단락,"의료,복지시설",0,3,4,2
강원특별자치도,기타(쓰레기 화재등),부주의,"불씨,불꽃,화원방치",기타,0,3,5,2
서울특별시,"건축,구조물",전기적 요인,절연열화에 의한 단락,주거,0,3,5,2
서울특별시,"건축,구조물",전기적 요인,절연열화에 의한 단락,"판매,업무시설",0,3,6,2
울산광역시,"건축,구조물",미상,미상,"판매,업무시설",0,3,6,2
경기도,"건축,구조물",부주의,담배꽁초,주거,0,3,7,2
서울특별시,"건축,구조물",미상,미상,산업시설,0,3,8,2
경기도,"건축,구조물",전기적 요인,미확인단락,기타서비스,0,3,9,2
서울특별시,"건축,구조물",부주의,음식물 조리중,주거,0,3,9,2
전북특별자치도,"건축,구조물",기계적 요인,"과열, 과부하",주거,0,3,9,2
경기도,"건축,구조물",부주의,담배꽁초,산업시설,0,3,10,2
서울특별시,"건축,구조물",부주의,가연물 근접방치,주거,0,3,10,2
충청남도,"건축,구조물",부주의,"기기(전기, 기계 등) 사용.설치부주의",생활서비스,0,3,10,2
경기도,기타(쓰레기 화재등),부주의,"용접, 절단, 연마",기타,0,3,11,2
경기도,"자동차,철도차량",기계적 요인,"과열, 과부하","자동차,철도차량",0,3,11,2
서울특별시,"건축,구조물",부주의,담배꽁초,주거,0,3,11,2
전북특별자치도,"건축,구조물",전기적 요인,절연열화에 의한 단락,주거,0,3,11,2
대구광역시,"건축,구조물",부주의,"불씨,불꽃,화원방치",주거,0,3,11,2
경상북도,"건축,구조물",부주의,"기기(전기, 기계 등) 사용.설치부주의",산업시설,0,3,12,2
경기도,"건축,구조물",전기적 요인,절연열화에 의한 단락,주거,0,3,12,2
경상남도,"건축,구조물",부주의,"용접, 절단, 연마",주거,0,3,12,2
서울특별시,"건축,구조물",부주의,"용접, 절단, 연마","의료,복지시설",0,3,13,2
강원특별자치도,"건축,구조물",전기적 요인,접촉불량에 의한 단락,주거,0,3,13,2
서울특별시,"건축,구조물",전기적 요인,접촉불량에 의한 단락,교육시설,0,3,14,2
서울특별시,"건축,구조물",부주의,가연물 근접방치,주거,0,3,14,2
경상북도,"자동차,철도차량",기계적 요인,기타(기계적요인),"자동차,철도차량",0,3,14,2
전라남도,임야,부주의,담배꽁초,임야,0,3,14,2
경기도,"건축,구조물",부주의,"기기(전기, 기계 등) 사용.설치부주의",생활서비스,0,3,14,2
경상북도,기타(쓰레기 화재등),부주의,담배꽁초,기타,0,3,15,2
서울특별시,기타(쓰레기 화재등),전기적 요인,기타(전기적요인),기타,0,3,15,2
