위도,경도,정류소ID,정류소명,정류소번호,수집일시,위치구분
35.90971,128.8145,DGB3600109400,하양시외버스터미널,,2026-07-02,동구
35.84039,128.75894,DGB3600111600,우진아파트 앞,,2026-07-02,수성구
35.83521,128.72384,DGB3600113400,중산삼거리(대구방향),,2026-07-02,수성구
35.89693,128.84743,DGB3600116700,대구대(정문2건너),,2026-07-02,동구
35.84246,128.76256,DGB3600125000,신대부적지구 입구,,2026-07-02,수성구
35.84201,128.76184,DGB3600125100,구.압량초등학교,,2026-07-02,수성구
35.84677,128.76394,DGB3600125200,마위지근린공원,,2026-07-02,수성구
35.84948,128.76536,DGB3600125300,경산병영유적지,,2026-07-02,수성구
35.84924,128.76503,DGB3600125400,경산병영유적지 건너,,2026-07-02,수성구
35.83378,128.71714,DGB3600126600,펜타힐즈서한이다음 앞,,2026-07-02,수성구
35.83355,128.71684,DGB3600126700,펜타힐즈서한이다음 건너,,2026-07-02,수성구
35.84543,128.7638,DGB3600148400,마위지근린공원 건너,5775,2026-07-02,수성구
35.83084,128.72035,DGB3600149600,펜타힐즈푸르지오2차 정문,5776,2026-07-02,수성구
35.83085,128.72146,DGB3600149700,펜타힐즈더샵1차 북편,5777,2026-07-02,수성구
36.0078,128.55116,DGB3690000310,가천입구,,2026-07-02,북구
36.08519,128.53822,DGB3690000490,경북식당(앞),,2026-07-02,북구
35.93375,128.53342,DGB3690000760,낙산리건너(돌고개),3948,2026-07-02,북구
35.9328,128.53018,DGB3690000770,시립공원묘지건너,3947,2026-07-02,북구
35.98702,128.55375,DGB3690002360,동명초등학교건너,,2026-07-02,북구
36.02335,128.54724,DGB3690003060,학명동,71001,2026-07-02,북구
36.02787,128.54574,DGB3690003070,학명리,71002,2026-07-02,북구
36.03898,128.53581,DGB3690003080,학명리(삭막마을입구),71006,2026-07-02,북구
36.03578,128.53962,DGB3690003090,학명리(등골마을입구),71005,2026-07-02,북구
36.05604,128.53429,DGB3690003220,진목정입구,4242,2026-07-02,북구
36.07861,128.53926,DGB3690003230,천평,,2026-07-02,북구
36.08544,128.53871,DGB3690003240,가산면행정복지센터,,2026-07-02,북구
36.06567,128.53769,DGB3690003250,금화리,,2026-07-02,북구
36.10259,128.54446,DGB3690003480,석우1리 건너,,2026-07-02,북구
35.9836,128.55338,DGB3690003750,동명면우체국,,2026-07-02,북구
36.10432,128.51995,DGB3690005500,농협자재창고(앞),12531,2026-07-02,북구
35.98496,128.55359,DGB3690005830,동명교통,,2026-07-02,북구
36.00135,128.55251,DGB3690005980,금암4리(대구시립묘지),,2026-07-02,북구
36.0847,128.53826,DGB3690007400,가산평생학습복지센터건너,,2026-07-02,북구
36.00955,128.58958,DGB3690007790,한국성모의자애수녀원,12735,2026-07-02,북구
36.0094,128.59054,DGB3690007800,한국성모의자애수녀원건너,12736,2026-07-02,북구
36.10419,128.51992,DGB3690007810,농협자재창고 건너,12737,2026-07-02,북구
35.85869,128.57713,DGB7001000100,대명시장앞,5191,2026-07-02,남구
35.85865,128.57782,DGB7001000200,대명시장건너,20110,2026-07-02,남구
35.85711,128.58085,DGB7001000300,계명대학교대명캠퍼스앞,2166,2026-07-02,남구
35.85768,128.58001,DGB7001000400,계명대학교대명캠퍼스건너,2163,2026-07-02,남구
35.86313,128.57556,DGB7001000500,중부소방서건너,21868,2026-07-02,북구
35.86307,128.57676,DGB7001000600,중부소방서앞,21869,2026-07-02,북구
35.86374,128.578,DGB7001000700,대신센트럴자이,21867,2026-07-02,북구
35.86469,128.58118,DGB7001000800,청라언덕(신남)역(1번출구),21866,2026-07-02,북구
35.86604,128.58676,DGB7001000900,엘디스리젠트호텔건너,21872,2026-07-02,중구
35.86595,128.58526,DGB7001001000,엘디스리젠트호텔앞,21865,2026-07-02,북구
35.86588,128.59022,DGB7001001100,현대백화점.동아쇼핑건너,21873,2026-07-02,중구
35.86468,128.59718,DGB7001001300,봉산문화거리앞,2202,2026-07-02,중구
35.86526,128.59562,DGB7001001400,2호선반월당역1,21876,2026-07-02,중구
35.86502,128.59693,DGB7001001500,봉산문화거리건너,21875,2026-07-02,중구
35.86266,128.59329,DGB7001001600,반월당역(2번출구),20089,2026-07-02,중구
35.86335,128.59309,DGB7001001700,반월당역(1번출구)1,20069,2026-07-02,중구
35.85956,128.5921,DGB7001001800,남문시장건너2,20088,2026-07-02,남구
35.86018,128.59206,DGB7001001900,남문시장앞,20071,2026-07-02,남구
35.8578,128.59124,DGB7001002000,명덕역(6번출구),20080,2026-07-02,남구
35.85793,128.59097,DGB7001002100,명덕역(7번출구),20072,2026-07-02,남구
35.85682,128.59202,DGB7001002200,명덕네거리1,418,2026-07-02,남구
35.85689,128.59247,DGB7001002300,명덕네거리2,20079,2026-07-02,남구
35.85649,128.59619,DGB7001002400,상수도사업본부건너,20078,2026-07-02,남구
35.856,128.59725,DGB7001002500,상수도사업본부,21209,2026-07-02,남구
35.85687,128.58817,DGB7001002600,명덕초등학교앞,20090,2026-07-02,남구
35.85668,128.58812,DGB7001002700,명덕초등학교건너,9139,2026-07-02,남구
35.85658,128.58486,DGB7001002800,남산역,20096,2026-07-02,남구
35.85633,128.58397,DGB7001002900,남산역건너,20833,2026-07-02,남구
35.8579,128.58281,DGB7001003000,경북공고앞,20111,2026-07-02,남구
35.85867,128.58257,DGB7001003100,경북공고건너,20109,2026-07-02,남구
35.86239,128.58254,DGB7001003200,남산초등학교앞,20112,2026-07-02,남구
35.86272,128.58233,DGB7001003300,남산초등학교건너,20113,2026-07-02,북구
35.86489,128.58853,DGB7001003400,남산2동행정복지센터건너,1020,2026-07-02,중구
35.86179,128.59096,DGB7001003500,남문아파트앞,1203,2026-07-02,중구
35.86015,128.59577,DGB7001003600,대구향교앞,1021,2026-07-02,중구
35.86027,128.59588,DGB7001003700,대구향교건너,1024,2026-07-02,중구
