round,gameweek,dayofweek,date,start_time,home_team,away_team,score,home_score,away_score,home_pens,away_pens,went_to_penalties,attendance,venue,referee,home_formation,away_formation,home_manager,away_manager,home_captain,away_captain,home_possession,away_possession,home_sot,away_sot,home_total_shots,away_total_shots,home_saves,away_saves,home_cards_yellow,away_cards_yellow,home_cards_red,away_cards_red,home_fouls,away_fouls,home_corners,away_corners,home_crosses,away_crosses,home_interceptions,away_interceptions,home_offsides,away_offsides,notes
조별리그,3,토,2026-06-27,12:00,뉴질랜드,벨기에,1-5,1.0,5.0,,,false,52497,"BC Place Stadium, Vancouver",아드함 막하드메,4-2-3-1,4-2-3-1,달렌 바제레이,뤼디 가르시아,크흐리스 우드,이리 티레마느스,45,55,2,10,6,35,5,1,2,0,0,0,10,7,5,8,17,16,6,10,1,1,
조별리그,3,일,2026-06-28,06:00,크로아티아,가나,2-1,2.0,1.0,,,false,68324,"Lincoln Financial Field, Philadelphia",드레 피스크헬,4-2-3-1,4-1-4-1,즐라트코 달리치,카를루스 케이로스,루카 모드리크,졸단 아,53,47,4,1,8,6,0,2,1,1,0,0,9,13,3,2,15,12,4,10,1,2,
조별리그,3,일,2026-06-28,06:00,파나마,잉글랜드,0-2,0.0,2.0,,,false,80663,"MetLife Stadium, East Rutherford",압둘라만 입라힘 알 자스심,5-4-1,4-2-3-1,소마스 크흐리스틴센,토마스 투헬,일 발케나스,해리 케인,33,67,2,6,13,17,4,2,2,1,0,0,16,13,3,7,9,25,6,5,4,4,
조별리그,3,일,2026-06-28,08:30,콩고민주공화국,우즈베키스탄,3-1,3.0,1.0,,,false,68239,"Mercedes-Benz Stadium, Atlanta",페리스 즈알,4-2-2-2,3-4-3,세바스틴 데삽레,파비오 칸나바로,찬켈 므벰바,엘돌 소무로돕,58,42,4,1,19,3,1,1,3,2,0,0,6,16,2,4,21,16,7,12,3,1,
조별리그,3,일,2026-06-28,08:30,콜롬비아,포르투갈,0-0,0.0,0.0,,,false,64478,"Hard Rock Stadium, Miami Gardens",아리레자 팍하니,4-1-4-1,4-2-3-1,네스토르 로렌소,로베르토 마르티네스,자메스 로드리구즈,크리스티아누 호날두,55,45,6,2,24,13,2,6,1,0,0,0,12,6,5,2,10,14,5,11,3,2,
조별리그,3,일,2026-06-28,11:00,요르단,아르헨티나,1-3,1.0,3.0,,,false,70649,"AT&T Stadium, Arlington",이스트반 코바크스,5-4-1,4-1-4-1,자말 셀라미,리오넬 스칼로니,이산 하드다드,니코라스 오타멘디,27,73,1,4,5,12,1,0,3,0,0,0,13,7,2,6,7,5,19,12,1,3,
조별리그,3,일,2026-06-28,11:00,알제리,오스트리아,3-3,3.0,3.0,,,false,69045,"GEHA Field at Arrowhead Stadium, Kansas City",일기즈 탄타스헵,4-2-3-1,4-1-3-2,브라디밀 페트코비크,랄프 랑닉,리드 마레즈,다비드 아라바,65,35,5,3,12,10,0,2,0,1,0,0,3,7,0,3,5,13,3,10,1,3,
32강,,월,2026-06-29,04:00,남아프리카공화국,캐나다,0-1,0.0,1.0,,,false,69237,"SoFi Stadium, Inglewood",조 핀헤로,4-2-3-1,4-2-2-2,휘고 브로스,제시 마시,론엔 일리므스,스텝헨 으스타쿠,58,42,1,7,6,12,5,1,0,2,0,0,10,16,1,4,8,12,16,8,1,0,
32강,,화,2026-06-30,02:00,브라질,일본,2-1,2.0,1.0,,,false,68777,"Reliant Stadium, Houston",모리지 마리니,4-1-4-1,3-4-3,카를로 안첼로티,모리야스 하지메,말쿤호스,리트수 돈,69,31,7,2,19,5,1,4,2,3,0,0,4,13,6,2,40,10,9,5,1,0,
32강,,화,2026-06-30,05:30,독일,파라과이,1-1,1,1,3,4,true,63945,"Gillette Stadium, Foxborough",자랄 자드,4-2-2-2,4-1-4-1,율리안 나겔스만,구스타보 알파로,요주아 키미히,구스타보 고메즈,75,25,6,3,21,7,2,6,3,3,0,0,18,12,16,6,56,21,4,13,4,1,연장전 후 승부차기에서 파라과이 승리
32강,,화,2026-06-30,10:00,네덜란드,모로코,1-1,1,1,2,3,true,51243,"Estadio BBVA, Guadalupe",일톤 삼파,3-4-3,4-2-3-1,로날드 쿠만,모하메드 오비,빌길 반 딕즈,아슈라프 하키미,30,70,2,5,6,11,5,1,0,1,0,0,18,15,5,8,10,18,11,10,3,0,연장전 후 승부차기에서 모로코 승리
32강,,수,2026-07-01,02:00,코트디부아르,노르웨이,1-2,1.0,2.0,,,false,69665,"AT&T Stadium, Arlington",제수스 바렌주라,4-1-4-1,4-1-4-1,에멜세 파,스톨레 솔바켄,프락느크 케스시,말틴 데가르드,47,53,5,4,14,9,1,4,0,1,0,0,6,7,14,3,29,10,4,6,2,2,
32강,,수,2026-07-01,06:00,프랑스,스웨덴,3-0,3.0,0.0,,,false,80663,"MetLife Stadium, East Rutherford",단니 막케리,4-2-3-1,4-2-2-2,디디에 데샹,그레이엄 포터,킬리안 음바페,비크톨 린데로프,61,39,12,3,25,8,3,9,0,0,0,0,14,10,9,1,16,10,5,12,3,1,
32강,,수,2026-07-01,11:00,멕시코,에콰도르,2-0,2.0,0.0,,,false,80824,"Estadio Banorte, Coyoacán",스랍코 빈키크,4-1-4-1,4-2-2-2,하비에르 아기레,세바스틴 베카크케케,케살 몬테스,모세스 카이케도,43,57,3,1,15,7,1,1,0,3,0,1,10,14,3,8,7,25,7,6,0,1,
32강,,목,2026-07-02,01:00,잉글랜드,콩고민주공화국,2-1,2.0,1.0,,,false,68239,"Mercedes-Benz Stadium, Atlanta",아드함 막하드메,4-2-3-1,4-1-4-1,토마스 투헬,세바스틴 데삽레,해리 케인,찬켈 므벰바,60,40,7,2,16,7,1,5,1,1,0,0,10,12,5,3,43,13,7,3,0,4,
32강,,목,2026-07-02,05:00,벨기에,세네갈,3-2,3.0,2.0,,,false,66925,"Lumen Field, Seattle",사이드 말티네즈,4-2-3-1,4-1-4-1,뤼디 가르시아,파페 시,이리 티레마느스,이드리스사 구,52,48,5,5,19,19,3,3,2,1,0,0,22,12,4,2,26,22,8,11,2,2,연장전 진행
32강,,목,2026-07-02,09:00,미국,보스니아 헤르체고비나,2-0,2.0,0.0,,,false,68827,"Levi's Stadium, Santa Clara",랍할 크로스,4-1-4-1,5-3-2,마우리시오 포체티노,셀게즈 발바레즈,팀 림,에딘 드제코,48,52,2,3,8,10,3,0,0,2,1,0,7,13,4,3,14,13,8,8,3,0,
32강,,금,2026-07-03,04:00,스페인,오스트리아,3-0,3.0,0.0,,,false,70492,"SoFi Stadium, Inglewood",그렌느 니벡르,4-2-3-1,4-2-3-1,루이스 데라푸엔테,랄프 랑닉,로드리,다비드 아라바,65,36,10,0,23,5,0,6,0,1,0,0,8,15,9,0,22,13,6,7,2,5,
32강,,금,2026-07-03,08:00,포르투갈,크로아티아,2-1,2.0,1.0,,,false,43036,"BMO Field, Toronto",에스펜 에스카스,4-2-3-1,4-2-3-1,로베르토 마르티네스,즐라트코 달리치,크리스티아누 호날두,루카 모드리크,61,40,3,6,15,13,5,2,1,2,0,0,6,12,9,5,20,22,5,9,1,4,
32강,,금,2026-07-03,12:00,스위스,알제리,2-0,2.0,0.0,,,false,52497,"BC Place Stadium, Vancouver",일 팔콘,4-2-3-1,4-1-4-1,무라트 야킨,브라디밀 페트코비크,그라니트 크스하카,리드 마레즈,45,55,5,2,11,8,2,2,0,2,0,0,10,12,4,2,14,6,17,9,0,2,
32강,,토,2026-07-04,03:00,호주,이집트,1-1,1,1,2,4,true,70244,"AT&T Stadium, Arlington",구스타보 테제라,3-4-3,4-2-2-2,토니 포포비크,호삼 하산,할리 소이트탈,모하메드 살라,42,58,1,3,16,14,3,1,0,2,0,0,12,14,4,7,24,24,9,8,0,3,연장전 후 승부차기에서 이집트 승리
32강,,토,2026-07-04,07:00,아르헨티나,카보베르데,3-2,3.0,2.0,,,false,64478,"Hard Rock Stadium, Miami Gardens",드레 피스크헬,4-2-2-2,4-1-4-1,리오넬 스칼로니,부비스타,리오넬 메시,린 멘데스,64,37,10,5,22,16,3,8,1,1,0,0,13,12,8,8,15,21,9,10,3,2,연장전 진행
32강,,토,2026-07-04,10:30,콜롬비아,가나,1-0,1.0,0.0,,,false,69045,"GEHA Field at Arrowhead Stadium, Kansas City",크레메느트 툴핀,4-1-4-1,4-1-4-1,네스토르 로렌소,카를루스 케이로스,자메스 로드리구즈,졸단 아,61,39,8,0,20,8,0,7,2,3,0,0,14,10,3,2,15,15,5,5,2,0,
16강,,일,2026-07-05,02:00,캐나다,모로코,0-3,0.0,3.0,,,false,68777,"Reliant Stadium, Houston",미크할 오리벨,4-2-2-2,4-2-3-1,제시 마시,모하메드 오비,스텝헨 으스타쿠,아슈라프 하키미,45,55,3,4,10,5,1,3,4,4,0,0,24,14,11,1,29,5,5,8,2,3,
16강,,일,2026-07-05,06:00,파라과이,프랑스,0-1,0.0,1.0,,,false,68324,"Lincoln Financial Field, Philadelphia",일기즈 탄타스헵,5-4-1,4-2-3-1,구스타보 알파로,디디에 데샹,구스타보 고메즈,킬리안 음바페,24,76,0,5,5,15,4,0,0,3,0,0,13,11,2,12,4,23,14,10,,,
16강,,월,2026-07-06,05:00,브라질,노르웨이,1-2,1.0,2.0,,,false,80663,"MetLife Stadium, East Rutherford",이스말이 엘파트,4-2-2-2,4-1-4-1,카를로 안첼로티,스톨레 솔바켄,말쿤호스,말틴 데가르드,34,66,4,5,14,9,3,3,1,0,0,0,7,6,5,5,16,13,11,6,1,1,
16강,,월,2026-07-06,10:00,멕시코,잉글랜드,2-3,2.0,3.0,,,false,80824,"Estadio Banorte, Coyoacán",아리레자 팍하니,4-1-4-1,4-2-3-1,하비에르 아기레,토마스 투헬,케살 몬테스,해리 케인,67,33,5,5,20,6,2,3,2,4,0,1,14,7,12,2,49,4,7,4,1,0,
16강,,화,2026-07-07,04:00,포르투갈,스페인,0-1,0.0,1.0,,,false,70649,"AT&T Stadium, Arlington",아느트호니 테이롤,4-2-3-1,4-2-3-1,로베르토 마르티네스,루이스 데라푸엔테,크리스티아누 호날두,로드리,45,56,2,6,10,15,5,2,2,1,0,0,9,13,3,7,13,16,7,5,2,1,
16강,,화,2026-07-07,09:00,미국,벨기에,1-4,1.0,4.0,,,false,66925,"Lumen Field, Seattle",아드함 막하드메,4-1-4-1,4-2-3-1,마우리시오 포체티노,뤼디 가르시아,팀 림,이리 티레마느스,56,44,2,7,7,15,3,1,2,0,0,0,11,9,3,5,11,14,9,9,0,1,
16강,,수,2026-07-08,01:00,아르헨티나,이집트,3-2,3.0,2.0,,,false,68239,"Mercedes-Benz Stadium, Atlanta",프란코스 레테크실,4-1-3-2,4-2-2-2,리오넬 스칼로니,호삼 하산,리오넬 메시,모하메드 살라,64,36,7,2,19,5,0,3,0,5,0,0,13,11,6,1,26,8,7,10,3,0,
16강,,수,2026-07-08,05:00,스위스,콜롬비아,0-0,0,0,4,3,true,52497,"BC Place Stadium, Vancouver",이반 발톤,4-1-4-1,4-2-3-1,무라트 야킨,네스토르 로렌소,그라니트 크스하카,자메스 로드리구즈,53,47,2,3,7,15,3,2,3,2,0,0,22,21,3,7,15,18,13,12,5,4,연장전 후 승부차기에서 스위스 승리
8강,,금,2026-07-10,05:00,프랑스,모로코,2-0,2.0,0.0,,,false,63811,"Gillette Stadium, Foxborough",파쿤도 텔로,4-2-3-1,4-2-3-1,디디에 데샹,모하메드 오비,킬리안 음바페,아슈라프 하키미,48,52,8,1,22,5,1,5,0,1,0,0,10,13,5,5,12,13,11,6,,,
8강,,토,2026-07-11,04:00,스페인,벨기에,2-1,2.0,1.0,,,false,70492,"SoFi Stadium, Inglewood",미크할 오리벨,4-2-3-1,4-2-3-1,루이스 데라푸엔테,뤼디 가르시아,로드리,케빈 더브라위너,68,32,8,2,17,5,1,6,2,2,0,0,13,18,5,1,19,10,4,10,3,1,
8강,,일,2026-07-12,06:00,노르웨이,잉글랜드,1-2,1.0,2.0,,,false,64478,"Hard Rock Stadium, Miami Gardens",크레메느트 툴핀,4-1-4-1,4-2-3-1,스톨레 솔바켄,토마스 투헬,말틴 데가르드,해리 케인,48,52,4,8,13,14,6,3,1,0,0,0,10,8,7,4,19,21,8,7,1,5,연장전 진행
8강,,일,2026-07-12,10:00,아르헨티나,스위스,3-1,3.0,1.0,,,false,69045,"GEHA Field at Arrowhead Stadium, Kansas City",조 핀헤로,4-1-3-2,4-2-3-1,리오넬 스칼로니,무라트 야킨,리오넬 메시,그라니트 크스하카,59,41,7,5,22,11,4,4,3,2,0,1,14,18,8,2,22,19,12,6,4,3,연장전 진행
4강,,수,2026-07-15,04:00,프랑스,스페인,0-2,0.0,2.0,,,false,70176,"AT&T Stadium, Arlington",이반 발톤,4-2-3-1,4-2-3-1,디디에 데샹,루이스 데라푸엔테,킬리안 음바페,로드리,49,51,3,2,10,10,0,3,2,1,0,0,11,12,7,1,20,8,8,7,4,5,
4강,,목,2026-07-16,04:00,잉글랜드,아르헨티나,1-2,1.0,2.0,,,false,68239,"Mercedes-Benz Stadium, Atlanta",이스말이 엘파트,4-2-3-1,4-1-4-1,토마스 투헬,리오넬 스칼로니,해리 케인,리오넬 메시,36,64,2,5,5,15,3,1,1,3,0,0,11,15,1,6,15,19,9,6,1,3,
3·4위전,,일,2026-07-19,06:00,프랑스,잉글랜드,4-6,4.0,6.0,,,false,64478,"Hard Rock Stadium, Miami Gardens",제수스 바렌주라,4-2-3-1,4-1-4-1,디디에 데샹,토마스 투헬,킬리안 음바페,데클란 라이스,46,54,9,11,19,19,4,5,0,0,0,0,14,8,3,4,6,12,8,11,3,3,
