player,team,team_country,position,age,birth_year,club,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct
Willy Semedo,Cabo Verde,Cape Verde,FW,32,1994,,3,1,131,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2.06,0,0,,44,33.6,60,0,2,36,1,0.67,1,2,-1,-0.69,-0.69,0,4,2,0,2,3,0,,,0,,,,,,,,,,,,,,,,,,
Yannick,Cabo Verde,Cape Verde,MF,30,1995,,2,0,32,0.4,0,1,1,0,0,0,0,0,0,2.81,2.81,0,2.81,1,0,0,2.81,0,0,,16,8.2,,0,2,16,2,0.5,1,1,0,0,0.25,0,1,1,0,2,2,1,,,0,,,,,,,,,,,,,,,,,,
Alfie Jones,Canada,Canada,"DF,MF",28,1997,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ali Ahmed,Canada,Canada,MF,25,2000,Norwich City,4,3,234,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,50,0.77,0.38,0,0,59,52,68,0,1,30,1,1,5,3,2,0.77,0.35,0,1,5,0,13,3,2,,,0,,,,,,,,,,,,,,,,,,
Alistair Johnston,Canada,Canada,DF,27,1998,Celtic,5,5,450,5,0,0,0,0,0,0,1,0,0,0,0,0,0,5,2,40,1,0.4,0,0,90,100,90,5,0,,0,1.4,9,6,3,0.6,,0,5,4,0,19,6,2,,,0,,,,,,,,,,,,,,,,,,
Alphonso Davies,Canada,Canada,"DF,FW",25,2000,Bayern Munich,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,16,3.6,,0,1,16,4,3,1,0,1,5.63,5.21,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,,,,
Cyle Larin,Canada,Canada,FW,31,1995,Mallorca,4,2,190,2.1,2,0,2,2,0,0,2,0,0.95,0,0.95,0.95,0.95,9,4,44.4,4.26,1.89,0.22,0.5,48,42.2,74,1,2,22,1,1,7,4,3,1.42,1.42,0,5,1,3,0,0,0,,,0,,,,,,,,,,,,,,,,,,
Dayne St. Clair,Canada,Canada,GK,29,1997,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derek Cornelius,Canada,Canada,DF,28,1997,Marseille,4,4,315,3.5,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1,20,1.43,0.29,0,0,79,70,79,3,0,,1,1.75,6,3,3,0.86,0.86,0,4,3,0,1,2,3,,,0,,,,,,,,,,,,,,,,,,
Isma?l Kon?,Canada,Canada,MF,23,2002,Sassuolo,2,2,146,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1.23,0,0,,73,32.4,73,1,0,,0,2,4,1,3,1.85,1.85,0,1,3,0,3,3,2,,,0,,,,,,,,,,,,,,,,,,
Jacob Shaffelburg,Canada,Canada,MF,26,1999,LAFC,5,0,92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2.93,0,0,,18,20.4,,0,5,18,0,1.4,4,2,2,1.96,1.71,0,2,1,0,18,2,1,,,0,,,,,,,,,,,,,,,,,,
Jayden Nelson,Canada,Canada,"FW,MF",23,2002,Austin FC,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22.5,0,0,,4,0.9,,0,1,4,4,0,0,1,-1,-22.5,-23.31,0,0,0,0,2,0,0,,,0,,,,,,,,,,,,,,,,,,
Joel Waterman,Canada,Canada,DF,30,1996,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
